Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
germacrone,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,3,2,5,1,1,7,0,0,1,0,4,1,0,6,6,1,1,2,1,1,3,0,0,3,5,1,2,2,0,1,1,2,1,3
g-eudesmol,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,0
g-guaiene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,0
g-gurjunene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,0
g-himachalene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,0
g-Jasmolactone,Others,Others,0,0,3,0,5,1,6,0,0,0,0,1,1,2,0,4,7,5,0,1,0,4,1,0,5,3,5,1,1,3,3,2,2,2,5,2,1,0,0,1,1,6,3,6,1
Gleenol,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,6
Globulol,Terpenoids,ST,1,2,2,3,1,0,3,3,1,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,3,1,1,1,0,2,2,0,4,2,6,3,6
"Glycerol-1,3-Dihexadecanoate",FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,0,1,1,4,3,3,7,2,2
g-muurolene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,0
